PROGRAM,POSITION,ERROR,WELD_SPEED,COMMAND_CURRENT,CURRENT_OUTPUT,COMMAND_VOLTAGE,VOLTAGE_OUTPUT,SHORT_COUNT,PULSE_FREQUENCY,MOTOR_CURRENT,WIRE_SPEED,INSTANT_ARC_LACK_TIME,TIMESTAMP
SALDATURA OP1,P027,Y,0.80,220,0,18.0,5.4,19,57,0.13,2.00,0.0,1581966301
SALDATURA OP1,P027,Y,0.80,220,0,18.0,13.5,9,57,0.08,2.00,0.0,1581966401
SALDATURA OP1,P027,Y,0.80,220,11,18.0,12.3,2,54,0.12,2.00,0.0,1581966501
SALDATURA OP1,P027,Y,0.80,220,87,18.0,10.7,1,27,0.10,13.30,0.0,1581966601
SALDATURA OP1,P027,Y,0.80,220,89,18.0,12.7,5,46,0.11,13.30,0.0,1581966701
SALDATURA OP1,P027,Y,0.80,220,103,18.0,15.5,10,46,0.27,13.30,0.0,1581966801
SALDATURA OP1,P027,Y,0.80,220,132,18.0,14.7,17,71,0.27,13.30,0.0,1581966901
SALDATURA OP1,P027,Y,0.80,220,157,18.0,15.7,25,69,0.60,13.30,0.0,1581967001
SALDATURA OP1,P027,N,0.8,220,0,18.0,5.5,18,71,0.06,2.0,0.0,1568826852
SALDATURA OP1,P027,N,0.8,220,0,18.0,13.7,10,71,0.0,2.0,0.0,1568826952
SALDATURA OP1,P027,N,0.8,220,14,18.0,13.0,2,59,0.09,2.0,0.0,1568827052
SALDATURA OP1,P027,N,0.8,220,83,18.0,10.7,2,12,0.16,13.3,0.0,1568827152
SALDATURA OP1,P027,N,0.8,220,89,18.0,12.6,8,50,0.13,13.3,0.0,1568827252
SALDATURA OP1,P027,N,0.8,220,113,18.0,13.2,13,56,0.43,13.3,0.0,1568827352
SALDATURA OP1,P027,N,0.8,220,135,18.0,15.4,21,67,0.22,13.3,0.0,1568827452
SALDATURA OP1,P027,N,0.8,220,168,18.0,15.5,27,82,0.66,13.3,0.0,1568827552
SALDATURA OP1,P027,N,0.8,220,0,18.0,8.0,17,74,0.02,2.0,0.0,1568821155
SALDATURA OP1,P027,N,0.8,220,0,18.0,13.4,8,74,0.06,2.0,0.0,1568821255